B.Pharm,B.Pharm - YPCRC   
D.Pharm,D.Pharm - YPCRC         
M.Pharm,M.Pharm - YPCRC 
Pharm D,Pharm D - YPCRC         
B.Com,B.Com - YIASM
BBA,BBA - YIASM
BSc,BSc - YIASM
BSc HS,BSc HS - YIASM
BSc(H),BSc(H) - YIASM
BCA,BCA - YIASM
B.Com(H),B.Com(H) - YIASM
MCA,MCA - YIASM
MSc,MSc - YIASM
MBA,MBA - YIASM
BAMS,BAMS - YAMCH
BHMS,BHMS - YHMC     
BNYS,BNYS - YNYC
BSc,BSc - YIASM
MSc,MSc - YIASM
M Optom,M Optom - YIASM
Diploma,Diploma - YIASM
BOT,BOT - YIASM
DIPSY,DIPSY - YIASM
MSc(N),MSc(N) - YNC
PBBSc(N),PBBSc(N) - YNC
BSc(N),BSc(N) - YNC
BSc,BSc - YUC
MSc,MSc - YUC
M.Lib.I.Sc,M.Lib.I.Sc - YUC 
IT,IT - YUC
BHMS,BHMS - YMCH
BOT,BOT - YMCH
BPH,BPH - YMCH
MHA,MHA - YMCH
MPH,MPH - YMCH
MSc,MSc - YMCH
BSc,BSc - YMCH
MSW,MSW - YMCH
B.ASLP,B.ASLP - YMCH
BHA,BHA - YMCH
BE,BE - PHD
BPT,BPT - YPC
MPT,MPT - YPC
BDS,BDS - YDC
MDS,MDS - YDC
PDF,PDF - YDC
Fellowship,Fellowship - YDC
MD,MD - YMC
MS,MS - YMC
DIP,DIP - YMC
B.Sc M,B.Sc M - YMC
MBBS,MBBS - YMC
MCH,MCH - YMC
BPH,BPH - YMC
BHA,BHA - YMC
B.ASLP,B.ASLP - YMC
MPH,MPH - YMC
MHA,MHA - YMC
M.Sc. Medical,M.Sc. Medical - YMC